,index,F-score,p-value
106,57throw_65thcolumn,16.651807195340012,4.78474771759384e-05
107,91throw_199thcolumn,16.636763502804193,4.8223254835583695e-05
108,40throw_141thcolumn,16.337400688719438,5.6351301031943096e-05
109,158throw_184thcolumn,16.32120542772637,5.682844340049445e-05
110,42throw_145thcolumn,16.274008741285044,5.824228293684203e-05
111,41throw_86thcolumn,16.261221347067398,5.8631410395518345e-05
112,30throw_75thcolumn,16.256337617288764,5.8780715095128914e-05
113,0throw_132thcolumn,16.253032953579538,5.888196199573377e-05
114,99throw_124thcolumn,16.21176167715812,6.016130934182359e-05
115,171throw_172thcolumn,16.18892489512182,6.088121056128129e-05
116,57throw_63thcolumn,16.11720549791233,6.319898857752027e-05
117,84throw_170thcolumn,16.116846795709826,6.321080150891471e-05
118,182throw_194thcolumn,16.07087031963825,6.474348035313558e-05
119,28throw_75thcolumn,16.035549617299022,6.594632047619027e-05
120,180throw_182thcolumn,16.02116502131784,6.644261327975849e-05
121,30throw_167thcolumn,16.014962747304025,6.665776148739154e-05
122,164throw_173thcolumn,15.972569889609748,6.81472240416229e-05
123,144throw_159thcolumn,15.971508389080434,6.818494681777663e-05
124,99throw_154thcolumn,15.875090999478365,7.170058329632195e-05
125,67throw_197thcolumn,15.873903053787865,7.174501915612546e-05
126,146throw_184thcolumn,15.836986909881208,7.313980629961128e-05
127,67throw_196thcolumn,15.83015015880469,7.340109912558366e-05
128,61throw_75thcolumn,15.815051090301369,7.398150543244057e-05
129,75throw_158thcolumn,15.75614493101952,7.629040740594998e-05
130,62throw_65thcolumn,15.711760269297399,7.80779708799335e-05
131,32throw_171thcolumn,15.695134459007633,7.875837807682135e-05
132,133throw_136thcolumn,15.65355174238736,8.048641625093714e-05
133,52throw_53thcolumn,15.633133756084744,8.13488541779826e-05
134,96throw_131thcolumn,15.556622196162987,8.466429916250991e-05
135,76throw_158thcolumn,15.555031237612376,8.473466593229055e-05
136,148throw_152thcolumn,15.552056835165864,8.486637939706064e-05
137,74throw_189thcolumn,15.55035401121303,8.494187725256249e-05
138,46throw_75thcolumn,15.49370885638299,8.749229642600245e-05
139,131throw_139thcolumn,15.44229662288933,8.987386506556088e-05
140,79throw_185thcolumn,15.406343504107891,9.15780405739333e-05
141,73throw_180thcolumn,15.339234267788939,9.48466383017787e-05
142,131throw_140thcolumn,15.337513866132095,9.493195980683026e-05
143,91throw_197thcolumn,15.30904203823576,9.635527699287758e-05
144,92throw_173thcolumn,15.218404635278793,0.00010103110283384957
145,142throw_145thcolumn,15.180804055455155,0.00010303736047377955
146,59throw_75thcolumn,15.147806669749192,0.00010483106684894322
147,42throw_64thcolumn,15.115417546270358,0.00010662231934821811
148,131throw_158thcolumn,15.069417059886591,0.00010921949751425584
149,85throw_172thcolumn,15.01111516529461,0.00011260306405347729
150,28throw_165thcolumn,14.961936486766623,0.000115539208246289
151,30throw_140thcolumn,14.949507052185634,0.00011629343158393662
152,141throw_189thcolumn,14.867583135014828,0.00012139033730504815
153,131throw_159thcolumn,14.81637244849165,0.00012469022168728021
154,116throw_148thcolumn,14.805202187358063,0.00012542193688689125
155,131throw_136thcolumn,14.792298990074048,0.00012627255995299017
156,31throw_168thcolumn,14.769356317529793,0.00012779941194716472
157,88throw_172thcolumn,14.76335599076761,0.0001282018000935627
158,5throw_27thcolumn,14.74699859876471,0.00012930524379497357
159,94throw_183thcolumn,14.70493774748356,0.00013218677748636247
160,41throw_99thcolumn,14.686060336321896,0.00013350101213009842
161,74throw_188thcolumn,14.679240293400952,0.00013397905280339712
162,75throw_188thcolumn,14.660825017911616,0.00013527848451276583
163,131throw_190thcolumn,14.630681302779402,0.00013743299238674333
164,16throw_131thcolumn,14.61810408659734,0.00013834214272216388
165,77throw_131thcolumn,14.615628193181818,0.0001385218271076044
166,172throw_189thcolumn,14.564455366831972,0.0001422887800476754
167,183throw_196thcolumn,14.563033422542146,0.00014239491511353755
168,61throw_68thcolumn,14.508756769662586,0.0001465064179088427
